company_id,cluster_id,cluster_name,distance_from_centroid
ABB,0,Cluster 0,0.768
ADANIENSOL,0,Cluster 0,0.5012
ADANIENT,0,Cluster 0,0.6475
ADANIGREEN,0,Cluster 0,0.674
ADANIPORTS,0,Cluster 0,1.0853
ADANIPOWER,0,Cluster 0,0.525
AMBUJACEM,0,Cluster 0,0.5287
APOLLOHOSP,0,Cluster 0,0.3515
ASIANPAINT,0,Cluster 0,0.4887
ATGL,0,Cluster 0,0.4232
AXISBANK,0,Cluster 0,3.3699
BAJAJAUTO,0,Cluster 0,0.6802
BAJAJFINSV,0,Cluster 0,2.7558
BAJAJHLDNG,0,Cluster 0,0.7388
BAJFINANCE,0,Cluster 0,4.256
BANKBARODA,0,Cluster 0,2.1205
BEL,0,Cluster 0,0.3491
BHARTIARTL,0,Cluster 0,0.2584
BHEL,0,Cluster 0,1.2316
BOSCHLTD,0,Cluster 0,0.4794
BPCL,0,Cluster 0,0.3364
BRITANNIA,0,Cluster 0,1.4087
CANBK,0,Cluster 0,1.4687
CHOLAFIN,0,Cluster 0,1.1173
CIPLA,1,Cluster 1,0.0
COALINDIA,0,Cluster 0,4.7692
DABUR,0,Cluster 0,0.4872
DIVISLAB,0,Cluster 0,0.8623
DLF,0,Cluster 0,0.8225
DMART,0,Cluster 0,0.4377
DRREDDY,0,Cluster 0,1.1632
EICHERMOT,0,Cluster 0,0.4332
GAIL,0,Cluster 0,0.4216
GODREJCP,0,Cluster 0,0.4585
GRASIM,0,Cluster 0,1.4142
HAL,0,Cluster 0,0.3288
HAVELLS,0,Cluster 0,0.4112
HCLTECH,0,Cluster 0,0.6325
HDFCBANK,3,Cluster 3,0.0
HDFCLIFE,0,Cluster 0,1.1893
HEROMOTOCO,0,Cluster 0,0.6091
HINDALCO,0,Cluster 0,2.8116
HINDUNILVR,0,Cluster 0,1.493
ICICIBANK,0,Cluster 0,3.8068
ICICIGI,0,Cluster 0,0.9711
ICICIPRULI,0,Cluster 0,1.1866
INDIGO,2,Cluster 2,0.0
INDUSINDBK,0,Cluster 0,0.7987
INFY,0,Cluster 0,0.3476
IOC,0,Cluster 0,0.3668
IRCTC,0,Cluster 0,1.0475
IRFC,0,Cluster 0,0.304
ITC,0,Cluster 0,0.5028
JINDALSTEL,0,Cluster 0,0.1398
JIOFIN,4,Cluster 4,0.0
JSWENERGY,0,Cluster 0,0.5315
JSWSTEEL,0,Cluster 0,0.1838
KOTAKBANK,0,Cluster 0,1.7456
LICI,0,Cluster 0,1.1914
LODHA,0,Cluster 0,0.7952
LT,0,Cluster 0,0.2485
LTIM,0,Cluster 0,0.5908
MARUTI,0,Cluster 0,0.3675
MM,0,Cluster 0,0.171
MOTHERSON,0,Cluster 0,0.4339
NAUKRI,0,Cluster 0,0.3576
NESTLEIND,0,Cluster 0,0.3668
NHPC,0,Cluster 0,0.9675
NTPC,0,Cluster 0,0.501
ONGC,0,Cluster 0,0.349
PFC,0,Cluster 0,0.1571
PIDILITIND,0,Cluster 0,0.662
PNB,0,Cluster 0,0.5233
POWERGRID,0,Cluster 0,1.1788
RECLTD,0,Cluster 0,0.1088
RELIANCE,0,Cluster 0,0.2611
SBILIFE,0,Cluster 0,1.197
SBIN,0,Cluster 0,0.7585
SHREECEM,0,Cluster 0,0.2813
SHRIRAMFIN,0,Cluster 0,0.5553
SIEMENS,0,Cluster 0,1.6469
SUNPHARMA,0,Cluster 0,1.2983
TATACONSUM,0,Cluster 0,1.3468
TATAMOTORS,0,Cluster 0,0.191
TATAPOWER,0,Cluster 0,0.4172
TATASTEEL,0,Cluster 0,0.282
TCS,0,Cluster 0,0.3195
TECHM,0,Cluster 0,0.4917
TITAN,0,Cluster 0,0.7175
TORNTPHARM,0,Cluster 0,0.412
TRENT,0,Cluster 0,0.2938
TVSMOTOR,0,Cluster 0,2.1367
ULTRACEMCO,0,Cluster 0,0.9064
UNIONBANK,0,Cluster 0,0.7166
