company_id,sector,CFO,CFF,latest_net_profit
AXISBANK,Private Banks,-5555.0,22341.0,24861.0
BAJAJFINSV,Diversified Financials,-68674.0,82709.0,15595.0
BAJFINANCE,Consumer Finance,-72760.0,82415.0,14451.0
BANKBARODA,Public Sector Banks,-6274.0,5476.0,18869.0
BHEL,Capital Goods,-3713.0,2656.0,282.0
CHOLAFIN,Consumer Finance,-35683.0,38471.0,3420.0
GRASIM,Diversified Industrials,-10719.0,33908.0,9926.0
MM,Automobiles,-5630.0,12281.0,12270.0
PFC,Speciality Finance,-97820.0,101261.0,26461.0
PNB,Public Sector Banks,-27939.0,3518.0,9157.0
RECLTD,Speciality Finance,-57723.0,59588.0,14145.0
SHRIRAMFIN,Consumer Finance,-31101.0,27609.0,7399.0
TVSMOTOR,Two Wheelers,-1253.0,2759.0,1779.0
