company_id,company_name,sector,rule_id,type,triggered,confidence_pct,eligible_after_threshold,reason,latest_roe,latest_roce,latest_debt_to_equity,latest_interest_coverage,latest_free_cash_flow,latest_revenue,latest_net_profit,latest_opm,latest_eps,latest_dividend_yield,latest_total_assets,latest_borrowings,latest_net_debt,latest_ebitda,trailing_revenue_cagar,trailing_profit_cagr,trailing_eps_cagr,history_years_count,history_roe_len,history_fcf_len,history_opm_len,history_revenue_len
BAJAJFINSV,Bajaj Finserv Ltd,,PRO_01,pro,True,95.0,True,ROE > 20% for 12 consecutive years; avg ROE=6068.1%,9808.18,11.07,1817.19,3.2,,110382.0,15595.0,37.0,51.0,,537415.0,288933.0,120548.0,41786.0,25.78,18.23,14.91,12,12,12,12,12
BAJAJFINSV,Bajaj Finserv Ltd,,PRO_02,pro,False,0.0,False,No FCF history available,9808.18,11.07,1817.19,3.2,,110382.0,15595.0,37.0,51.0,,537415.0,288933.0,120548.0,41786.0,25.78,18.23,14.91,12,12,12,12,12
BAJAJFINSV,Bajaj Finserv Ltd,,PRO_03,pro,False,0.0,False,D/E = 1817.1900 (not debt-free),9808.18,11.07,1817.19,3.2,,110382.0,15595.0,37.0,51.0,,537415.0,288933.0,120548.0,41786.0,25.78,18.23,14.91,12,12,12,12,12
BAJAJFINSV,Bajaj Finserv Ltd,,PRO_04,pro,True,76.17,True,Revenue CAGR 5yr = 25.8%,9808.18,11.07,1817.19,3.2,,110382.0,15595.0,37.0,51.0,,537415.0,288933.0,120548.0,41786.0,25.78,18.23,14.91,12,12,12,12,12
BAJAJFINSV,Bajaj Finserv Ltd,,PRO_05,pro,True,74.4,True,OPM = 37.0%,9808.18,11.07,1817.19,3.2,,110382.0,15595.0,37.0,51.0,,537415.0,288933.0,120548.0,41786.0,25.78,18.23,14.91,12,12,12,12,12
BAJAJFINSV,Bajaj Finserv Ltd,,PRO_06,pro,False,0.0,False,PAT CAGR 5yr = 18.2% (<= 20%),9808.18,11.07,1817.19,3.2,,110382.0,15595.0,37.0,51.0,,537415.0,288933.0,120548.0,41786.0,25.78,18.23,14.91,12,12,12,12,12
BAJAJFINSV,Bajaj Finserv Ltd,,PRO_07,pro,False,0.0,False,ICR = 3.2 (<= 10) and not debt-free,9808.18,11.07,1817.19,3.2,,110382.0,15595.0,37.0,51.0,,537415.0,288933.0,120548.0,41786.0,25.78,18.23,14.91,12,12,12,12,12
BAJAJFINSV,Bajaj Finserv Ltd,,PRO_08,pro,False,0.0,False,FCF unavailable,9808.18,11.07,1817.19,3.2,,110382.0,15595.0,37.0,51.0,,537415.0,288933.0,120548.0,41786.0,25.78,18.23,14.91,12,12,12,12,12
BAJAJFINSV,Bajaj Finserv Ltd,,PRO_09,pro,False,0.0,False,EPS CAGR 5yr = 14.9% (<= 15%),9808.18,11.07,1817.19,3.2,,110382.0,15595.0,37.0,51.0,,537415.0,288933.0,120548.0,41786.0,25.78,18.23,14.91,12,12,12,12,12
BAJAJFINSV,Bajaj Finserv Ltd,,PRO_10,pro,False,0.0,False,ROE not improving for 3 consecutive years,9808.18,11.07,1817.19,3.2,,110382.0,15595.0,37.0,51.0,,537415.0,288933.0,120548.0,41786.0,25.78,18.23,14.91,12,12,12,12,12
