company_id,metric_type,source_text,failure_reason
HDFCBANK,compounded_profit_growth,TTM:                27%,TTM period (no numeric years) — cannot map to a period_years value
HDFCBANK,compounded_sales_growth,TTM:            47%,TTM period (no numeric years) — cannot map to a period_years value
HDFCBANK,roe,Last Year:    17%,Last Year period (no numeric years) — cannot map to a period_years value
INFY,compounded_profit_growth,TTM:                 8%,TTM period (no numeric years) — cannot map to a period_years value
INFY,compounded_sales_growth,TTM:            3%,TTM period (no numeric years) — cannot map to a period_years value
INFY,roe,Last Year:     32%,Last Year period (no numeric years) — cannot map to a period_years value
SBILIFE,compounded_profit_growth,TTM:                 18%,TTM period (no numeric years) — cannot map to a period_years value
SBILIFE,compounded_sales_growth,TTM:            43%,TTM period (no numeric years) — cannot map to a period_years value
SBILIFE,roe,Last Year:      12%,Last Year period (no numeric years) — cannot map to a period_years value
TCS,compounded_profit_growth,TTM:                 8%,TTM period (no numeric years) — cannot map to a period_years value
TCS,compounded_sales_growth,TTM:            5%,TTM period (no numeric years) — cannot map to a period_years value
TCS,roe,Last Year:       52%,Last Year period (no numeric years) — cannot map to a period_years value
WIPRO,compounded_profit_growth,TTM:                 1%,TTM period (no numeric years) — cannot map to a period_years value
WIPRO,compounded_sales_growth,TTM:           -3%,TTM period (no numeric years) — cannot map to a period_years value
WIPRO,roe,Last Year:       14%,Last Year period (no numeric years) — cannot map to a period_years value
