kpi,count,P10,P25,P50,P75,P90,Mean,Std
roe,91,105.12,538.625,1832.29,4263.835,9355.0,5643.9391,17082.9239
roce,90,4.19,10.3025,15.855,24.2825,45.919,129.0766,612.5041
roa,91,1.14,2.48,6.21,13.79,22.62,61.7265,317.794
net_profit_margin,91,4.61,7.23,14.13,20.365,29.28,20.0623,45.4314
operating_margin,90,10.092,16.415,26.005,40.95,84.251,35.2067,27.1809
ebit_margin,90,11.28,19.0125,27.24,66.6575,99.994,43.8734,37.737
debt_to_equity,91,0.57,3.94,24.12,152.375,572.89,237.6248,600.8076
interest_coverage,90,2.609,4.355,11.93,51.61,157.301,86.1572,301.221
asset_turnover,91,0.07,0.215,0.68,1.135,1.66,3.5048,15.8476
inventory_turnover,91,0.0,0.05,0.46,0.865,1.45,2.1453,10.9168
