company_id,error,stage
AXISBANK,[Errno 22] Invalid argument: 'D:\\New Project\\Bluestock_Projects\\Nifty 100\\N100 Financial Intelligence Platform\\N100_Financial_Intelligence_Platform\\reports\\tearsheets\\AXISBANK_tearsheet.pdf',tearsheet_generation
BRITANNIA,[Errno 22] Invalid argument: 'D:\\New Project\\Bluestock_Projects\\Nifty 100\\N100 Financial Intelligence Platform\\N100_Financial_Intelligence_Platform\\reports\\tearsheets\\BRITANNIA_tearsheet.pdf',tearsheet_generation
DRREDDY,[Errno 22] Invalid argument: 'D:\\New Project\\Bluestock_Projects\\Nifty 100\\N100 Financial Intelligence Platform\\N100_Financial_Intelligence_Platform\\reports\\tearsheets\\DRREDDY_tearsheet.pdf',tearsheet_generation
HAL,[Errno 22] Invalid argument: 'D:\\New Project\\Bluestock_Projects\\Nifty 100\\N100 Financial Intelligence Platform\\N100_Financial_Intelligence_Platform\\reports\\tearsheets\\HAL_tearsheet.pdf',tearsheet_generation
HCLTECH,[Errno 22] Invalid argument: 'D:\\New Project\\Bluestock_Projects\\Nifty 100\\N100 Financial Intelligence Platform\\N100_Financial_Intelligence_Platform\\reports\\tearsheets\\HCLTECH_tearsheet.pdf',tearsheet_generation
HINDUNILVR,[Errno 22] Invalid argument: 'D:\\New Project\\Bluestock_Projects\\Nifty 100\\N100 Financial Intelligence Platform\\N100_Financial_Intelligence_Platform\\reports\\tearsheets\\HINDUNILVR_tearsheet.pdf',tearsheet_generation
ICICIPRULI,[Errno 22] Invalid argument: 'D:\\New Project\\Bluestock_Projects\\Nifty 100\\N100 Financial Intelligence Platform\\N100_Financial_Intelligence_Platform\\reports\\tearsheets\\ICICIPRULI_tearsheet.pdf',tearsheet_generation
IOC,[Errno 22] Invalid argument: 'D:\\New Project\\Bluestock_Projects\\Nifty 100\\N100 Financial Intelligence Platform\\N100_Financial_Intelligence_Platform\\reports\\tearsheets\\IOC_tearsheet.pdf',tearsheet_generation
JSWENERGY,[Errno 22] Invalid argument: 'D:\\New Project\\Bluestock_Projects\\Nifty 100\\N100 Financial Intelligence Platform\\N100_Financial_Intelligence_Platform\\reports\\tearsheets\\JSWENERGY_tearsheet.pdf',tearsheet_generation
PNB,[Errno 22] Invalid argument: 'D:\\New Project\\Bluestock_Projects\\Nifty 100\\N100 Financial Intelligence Platform\\N100_Financial_Intelligence_Platform\\reports\\tearsheets\\PNB_tearsheet.pdf',tearsheet_generation
RELIANCE,[Errno 22] Invalid argument: 'D:\\New Project\\Bluestock_Projects\\Nifty 100\\N100 Financial Intelligence Platform\\N100_Financial_Intelligence_Platform\\reports\\tearsheets\\RELIANCE_tearsheet.pdf',tearsheet_generation
TORNTPHARM,[Errno 22] Invalid argument: 'D:\\New Project\\Bluestock_Projects\\Nifty 100\\N100 Financial Intelligence Platform\\N100_Financial_Intelligence_Platform\\reports\\tearsheets\\TORNTPHARM_tearsheet.pdf',tearsheet_generation
