Company Name,Ticker,Sector,PE,Sector Median PE,PE vs Sector Median %,Valuation Flag,Difference %
Adani Energy Solutions Ltd,ADANIENSOL,Unknown,76.72,49.56,154.8,Caution,54.8
Bajaj Holdings & Investment Ltd,BAJAJHLDNG,Unknown,76.88,49.56,155.13,Caution,55.13
Coal India Ltd,COALINDIA,Unknown,76.5,49.56,154.36,Caution,54.36
Divis Laboratories Ltd,DIVISLAB,Unknown,74.55,49.56,150.42,Caution,50.42
ICICI Bank Ltd,ICICIBANK,Unknown,75.38,49.56,152.1,Caution,52.1
ICICI Prudential Life Insurance Company Ltd,ICICIPRULI,Unknown,76.8,49.56,154.96,Caution,54.96
Mahindra & Mahindra Ltd,MM,Unknown,76.49,49.56,154.34,Caution,54.34
NHPC Ltd,NHPC,Unknown,78.1,49.56,157.59,Caution,57.59
Shriram Finance Ltd,SHRIRAMFIN,Unknown,79.88,49.56,161.18,Caution,61.18
Torrent Pharmaceuticals Ltd,TORNTPHARM,Unknown,78.75,49.56,158.9,Caution,58.9
Abbott India Ltd,ABB,Unknown,19.29,49.56,38.92,Discount,-61.08
Adani Green Energy Ltd,ADANIGREEN,Unknown,29.07,49.56,58.66,Discount,-41.34
Adani Power Ltd,ADANIPOWER,Unknown,27.22,49.56,54.92,Discount,-45.08
Adani Total Gas Ltd,ATGL,Unknown,21.14,49.56,42.66,Discount,-57.34
"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",ASIANPAINT,Unknown,30.34,49.56,61.22,Discount,-38.78
Axis Bank Ltd,AXISBANK,Unknown,32.36,49.56,65.29,Discount,-34.71
Bharat Petroleum Corporation Ltd,BPCL,Unknown,25.37,49.56,51.19,Discount,-48.81
Canara Bank,CANBK,Unknown,24.47,49.56,49.37,Discount,-50.63
Cholamandalam Investment & Finance Company Ltd,CHOLAFIN,Unknown,18.46,49.56,37.25,Discount,-62.75
DLF Ltd,DLF,Unknown,11.24,49.56,22.68,Discount,-77.32
Dabur India Ltd,DABUR,Unknown,11.83,49.56,23.87,Discount,-76.13
Dr Reddys Laboratories Ltd,DRREDDY,Unknown,10.84,49.56,21.87,Discount,-78.13
GAIL (India) Ltd,GAIL,Unknown,13.48,49.56,27.2,Discount,-72.8
Godrej Consumer Products Ltd,GODREJCP,Unknown,26.5,49.56,53.47,Discount,-46.53
Hindalco Industries Ltd,HINDALCO,Unknown,24.15,49.56,48.73,Discount,-51.27
Hindustan Unilever Ltd,HINDUNILVR,Unknown,13.37,49.56,26.98,Discount,-73.02
Indian Oil Corporation,IOC,Unknown,15.28,49.56,30.83,Discount,-69.17
Indian Railway Finance Corporation Ltd,IRFC,Unknown,24.73,49.56,49.9,Discount,-50.1
Info Edge (India) Ltd,NAUKRI,Unknown,24.1,49.56,48.63,Discount,-51.37
Infosys Ltd,INFY,Unknown,32.63,49.56,65.84,Discount,-34.16
Jindal Steel & Power Ltd,JINDALSTEL,Unknown,29.77,49.56,60.07,Discount,-39.93
Jio Financial Services Ltd,JIOFIN,Unknown,12.61,49.56,25.44,Discount,-74.56
NTPC Ltd,NTPC,Unknown,33.8,49.56,68.2,Discount,-31.8
Pidilite Industries Ltd,PIDILITIND,Unknown,17.69,49.56,35.69,Discount,-64.31
Siemens Ltd,SIEMENS,Unknown,23.09,49.56,46.59,Discount,-53.41
State Bank of India,SBIN,Unknown,28.31,49.56,57.12,Discount,-42.88
TVS Motor Company Ltd,TVSMOTOR,Unknown,15.6,49.56,31.48,Discount,-68.52
Tata Consumer Products Ltd,TATACONSUM,Unknown,20.52,49.56,41.4,Discount,-58.6
Tata Motors Ltd,TATAMOTORS,Unknown,26.23,49.56,52.93,Discount,-47.07
Tata Power Company Ltd,TATAPOWER,Unknown,22.32,49.56,45.04,Discount,-54.96
Tech Mahindra Ltd,TECHM,Unknown,8.39,49.56,16.93,Discount,-83.07
