.gitignore | ProdRef: False | TestRef: False | By: 5
.kilo\.gitignore | ProdRef: False | TestRef: False | By: 5
.kilo\agent-manager.json | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\.bin\download-msgpackr-prebuilds | ProdRef: False | TestRef: False | By: 3
.kilo\node_modules\.bin\download-msgpackr-prebuilds.cmd | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\.bin\download-msgpackr-prebuilds.ps1 | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\.bin\node-gyp-build-optional-packages | ProdRef: False | TestRef: False | By: 4
.kilo\node_modules\.bin\node-gyp-build-optional-packages-optional | ProdRef: False | TestRef: False | By: 3
.kilo\node_modules\.bin\node-gyp-build-optional-packages-optional.cmd | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\.bin\node-gyp-build-optional-packages-optional.ps1 | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\.bin\node-gyp-build-optional-packages-test | ProdRef: False | TestRef: False | By: 3
.kilo\node_modules\.bin\node-gyp-build-optional-packages-test.cmd | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\.bin\node-gyp-build-optional-packages-test.ps1 | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\.bin\node-gyp-build-optional-packages.cmd | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\.bin\node-gyp-build-optional-packages.ps1 | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\.bin\node-which | ProdRef: False | TestRef: False | By: 4
.kilo\node_modules\.bin\node-which.cmd | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\.bin\node-which.ps1 | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\.bin\uuid | ProdRef: False | TestRef: False | By: 5
.kilo\node_modules\.bin\uuid.cmd | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\.bin\uuid.ps1 | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\.bin\yaml | ProdRef: False | TestRef: False | By: 11
.kilo\node_modules\.bin\yaml.cmd | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\.bin\yaml.ps1 | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\.package-lock.json | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\CHANGELOG.md | ProdRef: False | TestRef: False | By: 4
.kilo\node_modules\@ai-sdk\provider\LICENSE | ProdRef: False | TestRef: False | By: 6
.kilo\node_modules\@ai-sdk\provider\README.md | ProdRef: True | TestRef: False | By: 23
.kilo\node_modules\@ai-sdk\provider\dist\index.d.mts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\dist\index.d.ts | ProdRef: False | TestRef: False | By: 13
.kilo\node_modules\@ai-sdk\provider\dist\index.js | ProdRef: False | TestRef: False | By: 30
.kilo\node_modules\@ai-sdk\provider\dist\index.js.map | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\dist\index.mjs | ProdRef: False | TestRef: False | By: 1
.kilo\node_modules\@ai-sdk\provider\dist\index.mjs.map | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\package.json | ProdRef: False | TestRef: False | By: 11
.kilo\node_modules\@ai-sdk\provider\src\embedding-model-middleware\index.ts | ProdRef: False | TestRef: False | By: 3
.kilo\node_modules\@ai-sdk\provider\src\embedding-model-middleware\v3\embedding-model-v3-middleware.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\embedding-model-middleware\v3\index.ts | ProdRef: False | TestRef: False | By: 3
.kilo\node_modules\@ai-sdk\provider\src\embedding-model\index.ts | ProdRef: False | TestRef: False | By: 3
.kilo\node_modules\@ai-sdk\provider\src\embedding-model\v2\embedding-model-v2-embedding.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\embedding-model\v2\embedding-model-v2.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\embedding-model\v2\index.ts | ProdRef: False | TestRef: False | By: 3
.kilo\node_modules\@ai-sdk\provider\src\embedding-model\v3\embedding-model-v3-call-options.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\embedding-model\v3\embedding-model-v3-embedding.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\embedding-model\v3\embedding-model-v3-result.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\embedding-model\v3\embedding-model-v3.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\embedding-model\v3\index.ts | ProdRef: False | TestRef: False | By: 3
.kilo\node_modules\@ai-sdk\provider\src\errors\ai-sdk-error.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\errors\api-call-error.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\errors\empty-response-body-error.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\errors\get-error-message.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\errors\index.ts | ProdRef: False | TestRef: False | By: 3
.kilo\node_modules\@ai-sdk\provider\src\errors\invalid-argument-error.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\errors\invalid-prompt-error.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\errors\invalid-response-data-error.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\errors\json-parse-error.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\errors\load-api-key-error.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\errors\load-setting-error.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\errors\no-content-generated-error.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\errors\no-such-model-error.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\errors\too-many-embedding-values-for-call-error.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\errors\type-validation-error.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\errors\unsupported-functionality-error.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\image-model-middleware\index.ts | ProdRef: False | TestRef: False | By: 3
.kilo\node_modules\@ai-sdk\provider\src\image-model-middleware\v3\image-model-v3-middleware.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\image-model-middleware\v3\index.ts | ProdRef: False | TestRef: False | By: 3
.kilo\node_modules\@ai-sdk\provider\src\image-model\index.ts | ProdRef: False | TestRef: False | By: 3
.kilo\node_modules\@ai-sdk\provider\src\image-model\v2\image-model-v2-call-options.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\image-model\v2\image-model-v2-call-warning.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\image-model\v2\image-model-v2.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\image-model\v2\index.ts | ProdRef: False | TestRef: False | By: 3
.kilo\node_modules\@ai-sdk\provider\src\image-model\v3\image-model-v3-call-options.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\image-model\v3\image-model-v3-file.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\image-model\v3\image-model-v3-usage.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\image-model\v3\image-model-v3.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\image-model\v3\index.ts | ProdRef: False | TestRef: False | By: 3
.kilo\node_modules\@ai-sdk\provider\src\index.ts | ProdRef: False | TestRef: False | By: 3
.kilo\node_modules\@ai-sdk\provider\src\json-value\index.ts | ProdRef: False | TestRef: False | By: 3
.kilo\node_modules\@ai-sdk\provider\src\json-value\is-json.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\json-value\json-value.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\language-model-middleware\index.ts | ProdRef: False | TestRef: False | By: 3
.kilo\node_modules\@ai-sdk\provider\src\language-model-middleware\v2\index.ts | ProdRef: False | TestRef: False | By: 3
.kilo\node_modules\@ai-sdk\provider\src\language-model-middleware\v2\language-model-v2-middleware.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\language-model-middleware\v3\index.ts | ProdRef: False | TestRef: False | By: 3
.kilo\node_modules\@ai-sdk\provider\src\language-model-middleware\v3\language-model-v3-middleware.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\language-model\index.ts | ProdRef: False | TestRef: False | By: 3
.kilo\node_modules\@ai-sdk\provider\src\language-model\v2\index.ts | ProdRef: False | TestRef: False | By: 3
.kilo\node_modules\@ai-sdk\provider\src\language-model\v2\language-model-v2-call-options.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\language-model\v2\language-model-v2-call-warning.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\language-model\v2\language-model-v2-content.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\language-model\v2\language-model-v2-data-content.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\language-model\v2\language-model-v2-file.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\language-model\v2\language-model-v2-finish-reason.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\language-model\v2\language-model-v2-function-tool.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\language-model\v2\language-model-v2-prompt.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\language-model\v2\language-model-v2-provider-defined-tool.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\language-model\v2\language-model-v2-reasoning.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\language-model\v2\language-model-v2-response-metadata.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\language-model\v2\language-model-v2-source.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\language-model\v2\language-model-v2-stream-part.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\language-model\v2\language-model-v2-text.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\language-model\v2\language-model-v2-tool-call.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\language-model\v2\language-model-v2-tool-choice.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\language-model\v2\language-model-v2-tool-result.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\language-model\v2\language-model-v2-usage.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\language-model\v2\language-model-v2.ts | ProdRef: False | TestRef: False | By: 0
